Larnaca, LCA, Ukraine International Airlines, PS, 342, 17:45, 0204067, 29.10.2017 24.03.2018
Ljubljana, LJU, Adria Airways, JP, 934, 1:40, 1000560, 03.11.2017 24.03.2018
London, LGW, Ukraine International Airlines, PS, 114, 8:20, 0204007, 31.10.2017 22.03.2018
London, LHR, British Airways, BA, 882, 13:05, 0000500, 03.11.2017 23.03.2018
London, LHR, British Airways, BA, 882, 13:10, 0004000, 30.11.2017 25.01.2018
London, LGW, Ukraine International Airlines, PS, 112, 17:40, 1234567, 29.10.2017 24.03.2018
Lviv, LWO, Ukraine International Airlines, PS, 34, 8:10, 0234567, 29.10.2017 24.03.2018
Lviv, LWO, Ukraine International Airlines, PS, 36, 12:40, 0200500, 31.10.2017 23.03.2018
Madrid, MAD, Ukraine International Airlines, PS, 946, 8:00, 0000507, 29.10.2017 23.03.2018
Milan, MXP, Ukraine International Airlines, PS, 312, 18:25, 1234567, 29.10.2017 24.03.2018
Milan, MXP, Ukraine International Airlines, PS, 314, 18:30, 0000060, 30.12.2017 30.12.2017
Minsk, MSQ, Ukraine International Airlines, PS, 894, 7:50, 1234567, 29.10.2017 24.03.2018
Minsk, MSQ, BELAVIA, B2, 843, 8:35, 0234567, 31.10.2017 23.03.2018
Minsk, MSQ, Ukraine International Airlines, PS, 890, 13:25, 0200000, 31.10.2017 20.03.2018
Minsk, MSQ, BELAVIA, B2, 845, 18:15, 1234567, 30.10.2017 24.03.2018
Minsk, MSQ, Ukraine International Airlines, PS, 892, 18:35, 1034567, 29.10.2017 24.03.2018
Munich, MUC, Ukraine International Airlines, PS, 420, 13:35, 0200000, 02.01.2018 02.01.2018
Munich, MUC, LUFTHANSA, LH, 2544, 15:00, 1204007, 29.10.2017 22.03.2018
Munich, MUC, LUFTHANSA, LH, 2544, 15:05, 0000500, 03.11.2017 23.03.2018
Munich, MUC, Ukraine International Airlines, PS, 416, 18:05, 0200507, 29.10.2017 23.03.2018
Munich, MUC, LUFTHANSA, LH, 2546, 23:00, 1204060, 30.10.2017 22.03.2018
New York, JFK, Ukraine International Airlines, PS, 232, 17:05, 0200567, 29.10.2017 24.03.2018
Odessa, ODS, Ukraine International Airlines, PS, 56, 8:00, 0234567, 29.10.2017 24.03.2018
Odessa, ODS, Ukraine International Airlines, PS, 58, 17:55, 1234567, 29.10.2017 24.03.2018
Paris, CDG, Ukraine International Airlines, PS, 130, 9:35, 0230560, 31.10.2017 24.03.2018
Paris, CDG, Air France, AF, 1752, 13:50, 1000500, 30.10.2017 23.03.2018
Paris, CDG, Air France, AF, 1752, 16:20, 0034000, 01.11.2017 22.03.2018
Paris, CDG, Ukraine International Airlines, PS, 128, 17:35, 1234567, 29.10.2017 24.03.2018
Paris, CDG, Air France, AF, 1652, 23:05, 1000567, 29.10.2017 24.03.2018
Prague, PRG, Ukraine International Airlines, PS, 810, 8:20, 0000007, 29.10.2017 29.10.2017
Prague, PRG, Ukraine International Airlines, PS, 808, 14:35, 1200507, 29.10.2017 23.03.2018
Prague, PRG, Ukraine International Airlines, PS, 808, 18:30, 0034060, 01.11.2017 24.03.2018
Prague, PRG, CSA Czech Airlines, OK, 916, 1:40, 0230560, 31.10.2017 24.03.2018
